,lien,Marque,Modèle,Carburant,Kilométrage,Puissance fiscale,Année,Prix
13,https://www.tayara.tn//listings/voitures-9/c5950013-f8a2-4752-8aea-1acb2633ce24/ford-fiesta-titanium-,Ford,Fiesta,Essence,74000.0,5.0,2013.0,30500.0
14,https://www.tayara.tn//listings/voitures-9/0ef84815-a3b9-4258-a348-5a74d86d8b1d/citroën-nemo-toutes-options-appelez-sur-le-53488095-,Citroen,Nemo,Essence,167000.0,5.0,2013.0,26500.0
15,https://www.tayara.tn//listings/voitures-9/e6a8f2ca-78f3-428c-8a9d-4423cd929de1/chevrolet-aveo-très-propre,Chevrolet,Aveo,Diesel,32000.0,5.0,2017.0,25900.0
16,https://www.tayara.tn//listings/voitures-9/92e0df7b-3f4f-488d-b912-becc2fd74375/c-élysée-1-er-main,Citroen,C-Elysée,Essence,150000.0,5.0,2014.0,23000.0
17,https://www.tayara.tn//listings/voitures-9/a49677a8-3e5a-4504-816b-baa1c9862b84/peugeot-206-essence,Peugeot,206,Essence,220000.0,5.0,2000.0,14500.0
18,https://www.tayara.tn//listings/voitures-9/e9007c21-d6d7-49f7-a24e-5dc81a167903/ford-fiesta,Ford,Fiesta,Essence,140000.0,5.0,2010.0,22500.0
19,https://www.tayara.tn//listings/voitures-9/5518c99c-5e7a-4ec5-9663-fe2c8bbdc108/polo-3-1999,Volkswagen,Polo,Essence,220000.0,4.0,1999.0,9500.0
21,https://www.tayara.tn//listings/voitures-9/35d3a7bc-d7e8-41fa-a129-11d8e3952b16/a-vendre-hyundai-accent-en-très-bon-état-toutes-options-,Hyundai,Accent,Essence,124000.0,6.0,2015.0,34000.0
22,https://www.tayara.tn//listings/voitures-9/33f1de59-77bb-4df9-b5e4-20ad5eac0c3d/bmw-serie-1-boite-auto-toit,BMW,Serie 1,Essence,156000.0,7.0,2010.0,43000.0
23,https://www.tayara.tn//listings/voitures-9/9ef8870e-8c5c-45e1-b276-50c6a75a90eb/nissan-qashqai-diesel-7-places-toit-paon,Nissan,Qashqai,Diesel,144000.0,6.0,2012.0,56000.0
24,https://www.tayara.tn//listings/voitures-9/f5d2e9e2-bdb0-4a31-8eb9-129a5d934754/clio-campus-cable,Renault,Clio,Essence,151000.0,4.0,2008.0,24800.0
25,https://www.tayara.tn//listings/voitures-9/27e6eefe-b8af-4d7a-bbb8-0bff2dc45266/ford,Ford,Scorpio,Essence,30000.0,5.0,1983.0,3800.0
26,https://www.tayara.tn//listings/voitures-9/3e8f2adb-0f95-4f94-8789-8e32d00af40f/voiture-206-base-,Peugeot,206,Essence,307000.0,4.0,2002.0,11500.0
27,https://www.tayara.tn//listings/voitures-9/9fa68e31-7b2d-4352-a675-e4c11c3adde5/peugeot-206,Peugeot,206,Essence,262200.0,5.0,1999.0,12500.0
28,https://www.tayara.tn//listings/voitures-9/07c1f6ee-ed04-41d3-8af9-baad16478482/ford-focus-berline,Ford,Focus,Essence,125000.0,7.0,2014.0,30000.0
29,https://www.tayara.tn//listings/voitures-9/f79da8f5-1440-49a3-82e8-3ed269bc5a31/hunday-grand-i10,Hyundai,Grand i10,Essence,55000.0,5.0,2017.0,35500.0
30,https://www.tayara.tn//listings/voitures-9/b6b24282-32dc-47fd-8a9e-5fce34f448af/kia-rio,Kia,Rio,Essence,54000.0,5.0,2016.0,38000.0
31,https://www.tayara.tn//listings/voitures-9/018a3bae-7456-4463-a41c-7ddb4672f8e5/fiat-1ere-main-2019-tu-207-,Fiat,Panda,Essence,38000.0,4.0,2019.0,32800.0
32,https://www.tayara.tn//listings/voitures-9/14c9554b-5132-4c7c-ad29-e25e6faf45aa/seat-ibiza-1er-m-22594984,Seat,Ibiza,Essence,107000.0,5.0,2013.0,25500.0
33,https://www.tayara.tn//listings/voitures-9/6902174b-6d66-4528-a112-a97f6d464adf/bmw-x5-3-0-diesel,BMW,X5,Diesel,203700.0,12.0,2002.0,35000.0
34,https://www.tayara.tn//listings/voitures-9/3cc85495-a344-42aa-9d6d-d6535f70667d/citroën-jumper-première-main-tout-option,Citroen,Jumper,Diesel,230000.0,7.0,2014.0,1000.0
36,https://www.tayara.tn//listings/voitures-9/fde2566e-8e78-4641-9279-a723551a3546/citroen-berlingo,Citroen,Berlingo,Diesel,200000.0,7.0,2007.0,15500.0
37,https://www.tayara.tn//listings/voitures-9/fca252cc-4059-4fb5-a194-ad593bb5c7b9/kia-cerato-,Kia,Cerato,Diesel,220000.0,7.0,2010.0,23500.0
38,https://www.tayara.tn//listings/voitures-9/5766481e-65fb-4a59-8647-d16f05a02df0/nissan-navara-modèle-2006,Nissan,Navara,Diesel,244000.0,8.0,2006.0,37000.0
39,https://www.tayara.tn//listings/voitures-9/e9ea68f6-dbca-4092-8cf8-9b18f7f9e3ed/vento-diesel,Volkswagen,Vento,Diesel,170000.0,6.0,1995.0,6500.0
40,https://www.tayara.tn//listings/voitures-9/81ca37eb-7d1a-4580-8d8c-49b2ec5d395f/rover-75-,Rover,75,Essence,325000.0,6.0,2001.0,15500.0
41,https://www.tayara.tn//listings/voitures-9/1391e8d7-fd03-4a30-a224-6fb0c1ade51f/belle-mitsibushi-mirage-non-populaire,Mitsubishi,Canter,Essence,92000.0,4.0,2017.0,24000.0
42,https://www.tayara.tn//listings/voitures-9/18c64d4c-cd6e-4bae-9aac-f8335c61d04b/ford-fiesta,Ford,Fiesta,Essence,200000.0,5.0,1998.0,7500.0
43,https://www.tayara.tn//listings/voitures-9/809f3f2e-e72b-4388-920a-03befaf35cf4/polo-7-restylée-98679966,Volkswagen,Golf 7,Essence,97000.0,4.0,2017.0,29000.0
44,https://www.tayara.tn//listings/voitures-9/590f803c-f0c3-4011-ba6a-d53dccda3d43/hyundai-grand-i10,Hyundai,Grand i10,Essence,91000.0,5.0,2016.0,27500.0
45,https://www.tayara.tn//listings/voitures-9/e8e2362f-965c-4ebe-889a-e39f90d0a202/renault-clio-compus,Renault,Clio,Essence,90000.0,4.0,2011.0,21000.0
46,https://www.tayara.tn//listings/voitures-9/8a7a92c7-6112-4825-8fd1-362b35327acd/a-vendre-audi-a4-2004,Audi,A4,Diesel,149900.0,7.0,2004.0,31000.0
47,https://www.tayara.tn//listings/voitures-9/89a23b6d-da6e-4abf-b524-1332cdab9916/clio-2-phase2-tt-options-16500-d,Renault,Clio,Essence,320000.0,4.0,2002.0,16000.0
50,https://www.tayara.tn//listings/voitures-9/afe36e12-11ba-49ae-8462-d7c80dd050e6/29000dt,Citroen,Berlingo,Diesel,260000.0,5.0,2015.0,29000.0
51,https://www.tayara.tn//listings/voitures-9/62ac857e-5d5e-4eaf-88e9-cd65d9816cef/renault-symbol-pour-une-femme,Renault,Symbol,Essence,60000.0,5.0,2016.0,27000.0
52,https://www.tayara.tn//listings/voitures-9/3a0fe168-b7bb-4c54-91a4-1cb6a1378893/citroën,Citroen,Berlingo,Diesel,174000.0,6.0,2016.0,29000.0
53,https://www.tayara.tn//listings/voitures-9/3da3fad2-3756-4fc9-85e5-86b18c264b5a/clio-dynamique,Renault,Clio,Essence,183000.0,4.0,2014.0,28800.0
54,https://www.tayara.tn//listings/voitures-9/3467be55-ed21-46c9-afa7-2b9ad4b7eb9e/mazda6,Mazda,6,Essence,130000.0,9.0,2015.0,65000.0
55,https://www.tayara.tn//listings/voitures-9/633c1441-3cc4-4195-ab57-8436df75a8a7/bmw-e90,BMW,Serie 3,Essence,142000.0,7.0,2007.0,36500.0
56,https://www.tayara.tn//listings/voitures-9/e3850fac-960a-40ef-be23-ec75d57a6698/isuzu-10ch,Isuzu,D-MAX,Diesel,30000.0,10.0,1999.0,22700.0
58,https://www.tayara.tn//listings/voitures-9/fee7eba2-ca18-4a7c-8301-ab4f2f53c61f/karhba-ndhifa,Renault,Megane,Essence,256000.0,7.0,1998.0,12000.0
59,https://www.tayara.tn//listings/voitures-9/0e465e2c-6ac5-4522-b5cf-45f8270193c0/fiat-500-toute-option,Fiat,500,Essence,103000.0,4.0,2014.0,30000.0
60,https://www.tayara.tn//listings/voitures-9/2168339c-bd5f-4d59-b862-3b02fcb6b39e/c-180-kompressor,Mercedes-Benz,Classe C,Essence,161000.0,9.0,2009.0,46500.0
61,https://www.tayara.tn//listings/voitures-9/b9adae90-3cc6-4a23-b3eb-5db9e0323a13/à-vendre-ou-échange-,Renault,Clio,Essence,260000.0,4.0,2009.0,23000.0
62,https://www.tayara.tn//listings/voitures-9/c67a04b2-4792-4076-9d12-41d12b21996e/dacia-logan,Dacia,Logan MCV,Essence,88500.0,5.0,2017.0,33000.0
63,https://www.tayara.tn//listings/voitures-9/afdb78c6-3e71-43c8-b119-22cebd80a88b/golf-4-en-bon-état,Volkswagen,Golf 4,Essence,300000.0,5.0,2000.0,15000.0
64,https://www.tayara.tn//listings/voitures-9/227f4708-e073-4886-8d06-e8e3736187ae/ford-focus-1ère-main,Ford,Focus,Essence,147000.0,6.0,2007.0,23000.0
65,https://www.tayara.tn//listings/voitures-9/24c5bcff-d3a4-4579-afc8-9089d239954a/citroën-elysee-exclusive-,Fiat,Grande Punto,Essence,109000.0,4.0,2015.0,24500.0
66,https://www.tayara.tn//listings/voitures-9/1b7c65a9-b13e-4a5c-a750-7cdb37c7224e/siat-léon-1-2-tsi-était-était-neuf-et-d'origine,Seat,Leon,Essence,55000.0,6.0,2017.0,48000.0
67,https://www.tayara.tn//listings/voitures-9/9bc654f1-26a2-4d28-bb05-bb43ec4e7503/karhba-ndifa,Peugeot,106,Essence,300000.0,4.0,1996.0,11600.0
68,https://www.tayara.tn//listings/voitures-9/4ef30329-cc5b-4b3e-a545-2231b5c145b6/406,Peugeot,406,Essence,298000.0,7.0,2001.0,17500.0
70,https://www.tayara.tn//listings/voitures-9/d8279de9-4c88-4977-912b-d6101f60d6c5/porsche-cayenne-turbo-v8-4-8-l-,Porsche,Cayenne,Essence,135000.0,43.0,2008.0,105500.0
71,https://www.tayara.tn//listings/voitures-9/80e0cbae-ffd8-4f65-aaa1-8940402e9f3c/-bmw-318i-f30-sport-line-pack-night-toit-xénon,BMW,Serie 3,Essence,83500.0,7.0,2016.0,126000.0
72,https://www.tayara.tn//listings/voitures-9/91d9f753-a369-42cb-b8a3-c3d1a79d8b07/e200-kit-amg-phase-2-bva-,Mercedes-Benz,Classe E,Essence,97000.0,11.0,2012.0,109000.0
73,https://www.tayara.tn//listings/voitures-9/921eb23b-9b8e-46dd-8463-db72dcf3da6e/nissan-juke-nismo-11-cv-,Nissan,Juke,Essence,65000.0,11.0,2013.0,58500.0
74,https://www.tayara.tn//listings/voitures-9/f08defab-3bc6-465e-9373-f71c894d8c60/hyundai-accent-essence-auto-importe-etat-comme-neuf-,Hyundai,Accent,Essence,187500.0,6.0,2012.0,29500.0
75,https://www.tayara.tn//listings/voitures-9/4fcce43f-7cfb-403f-b6c3-93ba4e540597/308,Peugeot,308,Essence,94000.0,5.0,2015.0,34000.0
76,https://www.tayara.tn//listings/voitures-9/a0b46b6d-850d-48f1-b2c3-1fb399023cfb/clio-zen,Renault,Clio,Essence,93000.0,5.0,2014.0,34800.0
77,https://www.tayara.tn//listings/voitures-9/0043f62b-4bf7-4b80-bd7f-01fa96e302f1/clio-3-neuf-1-er-main-,Renault,Clio,Essence,175000.0,5.0,2007.0,21800.0
78,https://www.tayara.tn//listings/voitures-9/a06e9b77-7914-49c7-9460-e995620bf2e0/🇨🇮-fiat-500-🇨🇮,Fiat,500,Essence,100000.0,4.0,2016.0,38000.0
79,https://www.tayara.tn//listings/voitures-9/71ca8382-7d88-424f-b320-73bca027007d/iveco-c12,Iveco,Daily,Diesel,420000.0,8.0,2008.0,32000.0
80,https://www.tayara.tn//listings/voitures-9/394d9f71-0c37-4f3b-8d7d-f9b3206096a1/🇩🇪audi-a-4-en-exellent-état-🇩🇪,Audi,A4,Essence,157000.0,7.0,2010.0,39000.0
81,https://www.tayara.tn//listings/voitures-9/e14abc2e-9da7-40d7-b159-61f9110ea600/nisssa-navara,Nissan,Navara,Diesel,230000.0,8.0,2006.0,45000.0
82,https://www.tayara.tn//listings/voitures-9/a17c07c3-ad26-4aeb-a66e-63379a324878/citroen-nemo,Citroen,Nemo,Diesel,29000.0,5.0,2017.0,27800.0
84,https://www.tayara.tn//listings/voitures-9/6de69677-03f3-4e66-859e-3015163fef6b/206-+neuf-,Peugeot,206+,Essence,134000.0,4.0,2011.0,19500.0
85,https://www.tayara.tn//listings/voitures-9/3c5b27fe-8859-4b35-bddc-fcc70a1ba517/citroën,Citroen,ZX,Essence,10000.0,5.0,1994.0,7000.0
86,https://www.tayara.tn//listings/voitures-9/ce62d567-e49d-469c-aa5d-c22f754faa01/super5-nthifa,Renault,Super 5,Essence,270000.0,4.0,1986.0,5800.0
87,https://www.tayara.tn//listings/voitures-9/b52e1244-108f-4230-aba9-b3788b0c16ed/renault-symbol,Renault,Symbol,Essence,73000.0,5.0,2017.0,29700.0
88,https://www.tayara.tn//listings/voitures-9/ff39bdef-d4e8-4aff-8fc9-905c5c6dc6ac/polo-7,Volkswagen,Polo,Diesel,5000.0,4.0,2011.0,13200.0
89,https://www.tayara.tn//listings/voitures-9/cd821a44-2eba-4b4a-baff-612fc28b6ac6/a-vendre-renault-kongo-tel-95707515,Renault,Kangoo,Diesel,405000.0,7.0,2001.0,9000.0
90,https://www.tayara.tn//listings/voitures-9/610016b4-9dfc-47b8-b44e-469f344b9713/volkswagen-caddy,Volkswagen,Caddy,Diesel,380000.0,7.0,2007.0,16500.0
91,https://www.tayara.tn//listings/voitures-9/d40c70a9-ced8-4a2a-b289-f667926e94d0/🇨🇮-fiat-punto-easy-🇨🇮,Fiat,Punto,Essence,80000.0,4.0,2017.0,30000.0
92,https://www.tayara.tn//listings/voitures-9/c34e9a0b-58b9-490e-8cb1-29b5523ceb39/av-polo-7,Volkswagen,Polo,Essence,150000.0,5.0,2013.0,22800.0
93,https://www.tayara.tn//listings/voitures-9/51bf41ce-05af-41a8-9018-8a5da8add8ea/dacia-dokker-stepway-5-place-52940317,Dacia,Dokker,Essence,81000.0,6.0,2016.0,40000.0
94,https://www.tayara.tn//listings/voitures-9/2bb3cba4-dfd9-4621-8653-eed8a4a9d834/🇯🇵-nissan-qashqai-1ère-main-🇯🇵,Nissan,Qashqai,Diesel,70000.0,7.0,2016.0,75000.0
95,https://www.tayara.tn//listings/voitures-9/ac86f730-f9ad-4498-a273-668a68077673/renault-symbole,Renault,Symbol,Essence,60000.0,5.0,2016.0,29000.0
96,https://www.tayara.tn//listings/voitures-9/e96bb6b4-cd21-44c2-8ac8-970c9e067db2/fiat-doblo,Fiat,Doblo,Diesel,136000.0,5.0,2015.0,18000.0
97,https://www.tayara.tn//listings/voitures-9/99dedbfa-0acd-44fe-b3bf-a59041ed7df4/fiat-punto-pop,Fiat,Punto,Essence,99800.0,4.0,2013.0,25000.0
98,https://www.tayara.tn//listings/voitures-9/aa299859-09b8-41c6-89eb-2864b3b074a4/av-une-belle-golf-6-,Volkswagen,Golf 6,Essence,197000.0,5.0,2010.0,34000.0
99,https://www.tayara.tn//listings/voitures-9/f75f787b-8db4-4135-8af0-52b67c0cb94a/🇩🇪audi-a-4-en-exellent-état-🇩🇪,Audi,A4,Essence,152000.0,7.0,2012.0,52000.0
100,https://www.tayara.tn//listings/voitures-9/94c48c1b-7d1d-4d9a-ae2b-183d4f52a6b6/peugeot-406,Peugeot,406,Essence,200000.0,7.0,2000.0,13500.0
101,https://www.tayara.tn//listings/voitures-9/803c4594-86a5-4aff-bf49-d70a2cd7d22d/voiture,Fiat,Palio,Essence,240000.0,5.0,2005.0,11500.0
102,https://www.tayara.tn//listings/voitures-9/94d8ff5e-d684-4ed0-9bf8-83c218c5be46/peugeot-305,Peugeot,305,Essence,123000.0,6.0,1986.0,2500.0
103,https://www.tayara.tn//listings/voitures-9/cab9c0c9-18c7-4bce-8a93-a7b97c13903a/renault-clio,Renault,Clio,Essence,168000.0,5.0,2004.0,21000.0
104,https://www.tayara.tn//listings/voitures-9/1cdb3c99-f496-4d07-a0f3-95bbacb3000b/peugeot-407-phase-2,Peugeot,407,Diesel,175000.0,6.0,2007.0,23500.0
105,https://www.tayara.tn//listings/voitures-9/e83f2375-9295-42ea-ae47-23894e387fa5/hyundai-grand-i10-première-main-neuuf,Hyundai,Grand i10,Essence,89000.0,5.0,2017.0,29500.0
106,https://www.tayara.tn//listings/voitures-9/76a767aa-d97d-4107-9648-4690cab09445/isuzu-d-max,Isuzu,D-MAX,Diesel,336000.0,8.0,2007.0,41000.0
107,https://www.tayara.tn//listings/voitures-9/4f4f7ee3-db11-4888-8dc4-c8d45e2111b7/tivoli-à-vendre-,Ssangyong,Family,Essence,59000.0,8.0,2017.0,70000.0
108,https://www.tayara.tn//listings/voitures-9/f15fd841-76d8-4ea1-8212-2a18f27f3e02/mercedes-vito,Mercedes-Benz,Vito,Diesel,250000.0,7.0,2009.0,27000.0
109,https://www.tayara.tn//listings/voitures-9/89cb9bc8-65ec-4865-91d4-e7a1561f7022/renault-megane-tom-tom,Renault,12,Diesel,229000.0,6.0,2010.0,27000.0
110,https://www.tayara.tn//listings/voitures-9/bb4abd4a-8269-4d07-9e87-b2a1dd964577/trés-belle-bmw-,BMW,Serie 5,Essence,97000.0,10.0,2015.0,118000.0
111,https://www.tayara.tn//listings/voitures-9/a0bb2a2c-542d-4694-a4fd-f3f3d1dae406/minibus-12-places-huanday-h1-a-vendere,Hyundai,H-1,Diesel,200000.0,10.0,2010.0,30000.0
112,https://www.tayara.tn//listings/voitures-9/295ef1e0-1612-45c5-8387-c32e78bf6ea8/polo-3,Volkswagen,Polo,Essence,207800.0,4.0,1999.0,12300.0
113,https://www.tayara.tn//listings/voitures-9/4c65fec5-cdfe-4983-946d-219d1160c3c4/mercedes-c220-cdi-sfax,Mercedes-Benz,Classe C,Diesel,200000.0,8.0,2000.0,18000.0
114,https://www.tayara.tn//listings/voitures-9/0b227a86-38f0-41ab-8663-493307426d7b/voiture-cheverolt-spark,Chevrolet,Spark,Essence,200000.0,4.0,2011.0,21800.0
115,https://www.tayara.tn//listings/voitures-9/2ee98a15-68b7-4f29-9871-705fc2d473f7/belle-301-a-ne-pas-rater,Peugeot,301,Essence,94450.0,5.0,2013.0,23500.0
116,https://www.tayara.tn//listings/voitures-9/a0918331-1e3c-433d-893a-2e746ff5d812/bmw-serie-3-(316i)-f30-1ère-main-tel:-+21622350583,BMW,Serie 3,Essence,87000.0,7.0,2014.0,68000.0
117,https://www.tayara.tn//listings/voitures-9/86ad7f39-15d3-4060-a212-ebc70adc98fe/nissan-micra,Nissan,Micra,Essence,106000.0,5.0,2015.0,23000.0
118,https://www.tayara.tn//listings/voitures-9/467f2010-2973-428d-9298-195ec230df47/mercedes-classe-e-ferraile,Mercedes-Benz,Classe E,Diesel,240000.0,10.0,2010.0,29500.0
119,https://www.tayara.tn//listings/voitures-9/1da7f277-4689-4050-904f-669700713b5c/passat-tdi-,Volkswagen,Passat,Diesel,173000.0,6.0,2010.0,35000.0
120,https://www.tayara.tn//listings/voitures-9/b6b84cab-57f5-4e98-80ba-5e075b7e687c/twingo-2-avec-toit-panoramique-unique,Renault,Twingo,Essence,85000.0,4.0,2012.0,25000.0
122,https://www.tayara.tn//listings/voitures-9/df989b20-c375-4877-847f-cb0ae60289aa/scoda-fabia-etat-neuf,Skoda,Fabia,Essence,90000.0,4.0,2016.0,31500.0
124,https://www.tayara.tn//listings/voitures-9/5b8b00cb-1ac1-4d4c-9f90-42453e858a8e/a-vendre-symbole,Renault,Symbol,Essence,226000.0,5.0,2009.0,21500.0
128,https://www.tayara.tn//listings/voitures-9/27524b4a-0ae8-4fc2-a7a4-e45946294db6/clio-bombé-,Renault,Clio,Essence,200000.0,4.0,1999.0,10000.0
129,https://www.tayara.tn//listings/voitures-9/5c5a1f4d-c508-4e4d-9cf2-2f9c2cd2614e/clio-4-intense-,Renault,Clio,Essence,87000.0,5.0,2016.0,36800.0
130,https://www.tayara.tn//listings/voitures-9/b868af20-4586-433c-b9cd-eb68fbd3802e/symbole-50466180,Renault,Symbol,Essence,100000.0,5.0,2016.0,25800.0
131,https://www.tayara.tn//listings/voitures-9/b33f97f3-8c2d-4b8c-ba3a-9548dfb31f90/polo-8,Volkswagen,Golf Plus,Essence,78000.0,4.0,2017.0,33000.0
132,https://www.tayara.tn//listings/voitures-9/778429c3-f66c-482b-a9dc-f75c1c337f5b/mazda-bt50-,Mazda,BT-50,Diesel,180000.0,8.0,2017.0,60000.0
133,https://www.tayara.tn//listings/voitures-9/6eccc4ef-2498-480c-8684-5da46b5efb18/مرسداس-سبرنتر,Mercedes-Benz,Sprinter,Diesel,312000.0,10.0,1993.0,24000.0
134,https://www.tayara.tn//listings/voitures-9/a30bb59b-7c98-4a61-87ab-7fed61a6601c/vente-b9-toute-option-:-contacter-54648338,Citroen,Berlingo,Diesel,150000.0,5.0,2012.0,22200.0
135,https://www.tayara.tn//listings/voitures-9/001c67dc-66ed-44f3-b6c6-86c6b4e6aaaa/citroën-ax-,Citroen,AX,Essence,100000.0,4.0,1990.0,6500.0
137,https://www.tayara.tn//listings/voitures-9/634c863b-6eea-4d1a-bd7a-a6c7f8f32088/polo3-nthaifa,Volkswagen,Polo,Essence,248321.0,4.0,1999.0,10800.0
138,https://www.tayara.tn//listings/voitures-9/2121ddae-2df4-46b1-8a16-fd53efb7bf78/mercedes-classe-a-180,Mercedes-Benz,Classe A,Essence,93000.0,7.0,2013.0,73000.0
139,https://www.tayara.tn//listings/voitures-9/0693c399-f750-48fa-a548-d95dbd85f6f8/208-état-neuf-,Peugeot,208,Essence,136000.0,5.0,2015.0,28500.0
140,https://www.tayara.tn//listings/voitures-9/481de8f1-6b51-4f69-9a6b-4735a4cf325e/polo-soudan-tt-option-,Volkswagen,Polo,Essence,200000.0,5.0,2015.0,29000.0
141,https://www.tayara.tn//listings/voitures-9/66b5c1a8-3a73-4b14-9192-6620205fb1e7/av-kia-rio,Kia,Rio,Essence,81120.0,5.0,2015.0,32800.0
142,https://www.tayara.tn//listings/voitures-9/40ec54bb-da3f-4bdd-9d54-42f0296f5d80/dacia-dokker,Dacia,Dokker,Diesel,62000.0,6.0,2017.0,28000.0
143,https://www.tayara.tn//listings/voitures-9/04805d24-0671-45c4-87c3-c2c054737305/voiture-peugeot-5008-boite-automatique-de-l-arabie-saoudite,Peugeot,5008,Essence,84000.0,7.0,2015.0,28000.0
144,https://www.tayara.tn//listings/voitures-9/a00c0f73-016b-4ddf-9524-fdc7e6665fcf/fiat-500-boîte-auto-série-194,Fiat,500,Essence,47000.0,4.0,2017.0,39800.0
145,https://www.tayara.tn//listings/voitures-9/eb0074cc-24e4-40a7-b0c1-3d84934c32f7/peugeot-106-2-portes,Peugeot,106,Essence,200000.0,4.0,1994.0,7500.0
146,https://www.tayara.tn//listings/voitures-9/fb6a3e9c-f5f0-4941-8305-857fd762a231/voitur,Renault,Symbol,Essence,111000.0,16.0,2016.0,24800.0
148,https://www.tayara.tn//listings/voitures-9/1c3e0852-b737-44d6-9048-5569fc6238f3/peugeot-partner-diesel,Peugeot,Partner,Diesel,248000.0,7.0,2008.0,14200.0
149,https://www.tayara.tn//listings/voitures-9/227ef8a6-b700-4d51-9f51-731f16cf2ae3/bmw-e92-phase-2,BMW,Serie 3,Essence,73000.0,7.0,2012.0,57000.0
150,https://www.tayara.tn//listings/voitures-9/b38594d7-f18a-4922-a765-b3b1683542fc/dimax-zolat-2-5-injection-intercooler,Isuzu,D-MAX,Diesel,168000.0,8.0,2014.0,49000.0
151,https://www.tayara.tn//listings/voitures-9/b7f2383b-50fa-4b9c-885c-b913797680b5/bmw-serie3,BMW,Serie 3,Essence,90000.0,7.0,2016.0,87500.0
152,https://www.tayara.tn//listings/voitures-9/3f118f7f-a39d-4caf-9393-455742cc2e2d/bmw-sport-look-e92-excellent-état,BMW,Serie 3,Essence,163000.0,7.0,2008.0,44300.0
153,https://www.tayara.tn//listings/voitures-9/94b66be3-0d93-4647-bbaa-3f240dd28ed0/porsche-cayenne-s-série-139,Porsche,Cayenne,Essence,145000.0,30.0,2007.0,76000.0
154,https://www.tayara.tn//listings/voitures-9/317657cd-49ba-48ae-a7cf-c6d7b8951239/seat-ibiza-style-+-2015,Seat,Ibiza,Essence,98000.0,5.0,2015.0,35500.0
155,https://www.tayara.tn//listings/voitures-9/78431420-4c8b-4e96-8988-67455066871a/mazda-cx5-très-propre,Mazda,CX-5,Essence,155000.0,9.0,2014.0,55000.0
156,https://www.tayara.tn//listings/voitures-9/64fa442a-df2f-4d35-a48a-4677ac5505dd/mini-one-boîte-auto-série-147,mini,One,Essence,93000.0,6.0,2010.0,35800.0
157,https://www.tayara.tn//listings/voitures-9/a450e0cf-9b12-4054-9e50-a48f9edb5aac/voiture,Peugeot,Tepee,Essence,100000.0,200.0,1990.0,2000.0
158,https://www.tayara.tn//listings/voitures-9/9d7bb976-8ead-4cc2-a516-5cb56e8363e3/mercedes-,Mercedes-Benz,250,Diesel,250000.0,8.0,1999.0,12000.0
159,https://www.tayara.tn//listings/voitures-9/9265f373-2f4f-495a-86b6-a8c6cb9f9a64/femme-directrice-vend-renault-symbol-3-ans-et-5-mois-état-d'origine-48-000-km,Renault,Symbol,Essence,48000.0,5.0,2016.0,30200.0
160,https://www.tayara.tn//listings/voitures-9/f247ee32-c145-4f58-b8f0-3d79e8847cfb/peugeot-307,Peugeot,307,Essence,228000.0,6.0,2005.0,16900.0
161,https://www.tayara.tn//listings/voitures-9/0c42de29-d984-47e0-a192-6141ec2090e9/golf-2,Volkswagen,Golf 2,Diesel,165000.0,5.0,1991.0,7500.0
