,lien,Kilométrage,Année,Marque,Modèle,Carburant,Puissance fiscale,Couleur du véhicule,Etat du véhicule,Type de carrosserie,Boite,Cylindrée,Description,Prix
20,https://www.tayara.tn//listings/voitures-9/bee69820-5e9b-4c7e-96ae-ca50377db895/تاكسي-برخصتها-,600000.0,2012.0,Peugeot,207,Diesel,5.0,Jaune,Nouveau,Berline,Manuelle,1.4, تاكسي 207 توت ابسيون الرخصة مازال فيها غامين وثمانية شهر السعر قابل للنقاش ,27000.0
21,https://www.tayara.tn//listings/voitures-9/35d3a7bc-d7e8-41fa-a129-11d8e3952b16/a-vendre-hyundai-accent-en-très-bon-état-toutes-options-,124000.0,2015.0,Hyundai,Accent,Essence,6.0,Blanc,Avec kilométrage,Berline,Manuelle,1.4, Commandes au volant..jantes alu..bluetooth..climatronic..etc,34000.0
22,https://www.tayara.tn//listings/voitures-9/33f1de59-77bb-4df9-b5e4-20ad5eac0c3d/bmw-serie-1-boite-auto-toit,156000.0,2010.0,BMW,Serie 1,Essence,7.0,Noir,Avec kilométrage,Compacte,Automatique,1.6, tres belle bmw serie 1 modèle E87 essence 116i boire auto moteur N45 tout ouvrant climatronic multifonctions au volant jantes alu rétroviseurs électriques.....etc,43000.0
23,https://www.tayara.tn//listings/voitures-9/9ef8870e-8c5c-45e1-b276-50c6a75a90eb/nissan-qashqai-diesel-7-places-toit-paon,144000.0,2012.0,Nissan,Qashqai,Diesel,6.0,Noir,Avec kilométrage,Monospace,Manuelle,1.5, tres belle nissan qashqai +2 diesesl 6 cv finition tekna tres belle couleur 7 places ttes opts climatisation bi zone auto jante alu 18 pouces avec des pneus a peine montée même pas 500 km rétroviseurs électriques rabattables toit panoramique 4 vitres électriques antibrouillard détecteur pluie et lumière vitre arrière surteintee multifonctions au volant cruise control bluetooth poste radio tactile avec slote carte SD camera de recule accoudoir avant volant et pommeau de vitesse cuir . . . . etc contactez tel ( 24241741 ),56000.0
24,https://www.tayara.tn//listings/voitures-9/f5d2e9e2-bdb0-4a31-8eb9-129a5d934754/clio-campus-cable,151000.0,2008.0,Renault,Clio,Essence,4.0,Noir,Avec kilométrage,Compacte,Manuelle,1.2, tres belle clio campus 4 cv essence 1er main tres peu roulé état parfaite fermeture centrale a distance rétroviseurs électriques climatisé radio cd accélérateur a câble,24800.0
25,https://www.tayara.tn//listings/voitures-9/27e6eefe-b8af-4d7a-bbb8-0bff2dc45266/ford,30000.0,1983.0,Ford,Scorpio,Essence,5.0,Gris,Avec kilométrage,Berline,Manuelle,2.0, karhba nthifa,3800.0
26,https://www.tayara.tn//listings/voitures-9/3e8f2adb-0f95-4f94-8789-8e32d00af40f/voiture-206-base-,307000.0,2002.0,Peugeot,206,Essence,4.0,Gris,Avec kilométrage,Autres,Manuelle,>4.0, a vendre une voiture 206 base  mechia 307000 klm  serie 106 prix 11.500 dinar  téléphone 97707119 .,11500.0
27,https://www.tayara.tn//listings/voitures-9/9fa68e31-7b2d-4352-a675-e4c11c3adde5/peugeot-206,262200.0,1999.0,Peugeot,206,Essence,5.0,Vert,Avec kilométrage,Berline,Manuelle,1.1, av 206 5ch toutes options état moyenne mécanique cv moteur jdid,12500.0
28,https://www.tayara.tn//listings/voitures-9/07c1f6ee-ed04-41d3-8af9-baad16478482/ford-focus-berline,125000.0,2014.0,Ford,Focus,Essence,7.0,Bleu,Avec kilométrage,Berline,Manuelle,1.6, a vendre ford focus berline premiere main 125000km 7cv essence très bien entretenue poste android bluetooth 4 pneus neufs climatronic radar de recul détecteurs luminosité et pluie...,30000.0
29,https://www.tayara.tn//listings/voitures-9/f79da8f5-1440-49a3-82e8-3ed269bc5a31/hunday-grand-i10,55000.0,2017.0,Hyundai,Grand i10,Essence,5.0,Rouge,Nouveau,Autres,Manuelle,1.2, 📲📲 58101779 av hunday grand i10 tt option تسجيل أول  km 55 star/stop  volon Multifonctions cuir  téléphone bleutooth  radar de requl  chez pilote  4vitre électrique  jant alu,35500.0
30,https://www.tayara.tn//listings/voitures-9/b6b24282-32dc-47fd-8a9e-5fce34f448af/kia-rio,54000.0,2016.0,Kia,Rio,Essence,5.0,Marron,Nouveau,Berline,Manuelle,1.2, A vendre Kia rio 1ère main tt option mechya 54 Alf tél 29299541 année 2016,38000.0
31,https://www.tayara.tn//listings/voitures-9/018a3bae-7456-4463-a41c-7ddb4672f8e5/fiat-1ere-main-2019-tu-207-,38000.0,2019.0,Fiat,Panda,Essence,4.0,Bleu,Nouveau,Compacte,Manuelle,1.2," Fiat panda première main peinture d origine, aucune égratignures, encore dans l'emballage, roue de secours jamais servie, voiture très économique, zero dépense à prévoir",32800.0
32,https://www.tayara.tn//listings/voitures-9/14c9554b-5132-4c7c-ad29-e25e6faf45aa/seat-ibiza-1er-m-22594984,107000.0,2013.0,Seat,Ibiza,Essence,5.0,Blanc,Avec kilométrage,Compacte,Automatique,1.2, Seat Ibiza 1er m tout options très très très propre état origine toutes les ontrtan missan Seat  avec facture  22594984,25500.0
33,https://www.tayara.tn//listings/voitures-9/6902174b-6d66-4528-a112-a97f6d464adf/bmw-x5-3-0-diesel,203700.0,2002.0,BMW,X5,Diesel,12.0,Noir,Avec kilométrage,4 x 4,Automatique,3.0, en très bon état  bien entretenue jamais accidentée mécanique 0 défaut 180 km/h facile  intérieur cuir full options sauf toit  climatronic bi-zone (glace) sièges et volant réglable électrique et avec mémoire  rétroviseurs auto éblouissant  boite auto avec mode sport et manuelle  palettes au volant  ordinateur de bord  4 roue motrice  et plein d'autres options  prix négligeable pour les sérieux  pas de déplacement  disponible à zaghouan  tel 27475272,35000.0
34,https://www.tayara.tn//listings/voitures-9/3cc85495-a344-42aa-9d6d-d6535f70667d/citroën-jumper-première-main-tout-option,230000.0,2014.0,Citroen,Jumper,Diesel,7.0,Blanc,Nouveau,Compacte,Manuelle,1.4, Citroën Jumper tout otipon climatisé vitre électrique fermeture centrale modèle 2014 7cv diesel ...... contacter 98207123,1000.0
35,https://www.tayara.tn//listings/voitures-9/bb92355e-d8fa-467c-a2b0-998243c852b3/tractor-landini,58874.0,2017.0,Bentley,Continental gt,Diesel,7572814.0,Bleu,Non dédouanné,Cabriolet,Manuelle,2.0, nthif yasser,9999.0
36,https://www.tayara.tn//listings/voitures-9/fde2566e-8e78-4641-9279-a723551a3546/citroen-berlingo,200000.0,2007.0,Citroen,Berlingo,Diesel,7.0,Blanc,Avec kilométrage,Utilitaire,Manuelle,1.9, nehifa barcha khalijia,15500.0
37,https://www.tayara.tn//listings/voitures-9/fca252cc-4059-4fb5-a194-ad593bb5c7b9/kia-cerato-,220000.0,2010.0,Kia,Cerato,Diesel,7.0,Noir,Avec kilométrage,Berline,Manuelle,1.6, Kia cerato année 2010 7 chevaux diesel kilométrage 220000 prix: 23500 négociable  tél : 98206020 27107811,23500.0
38,https://www.tayara.tn//listings/voitures-9/5766481e-65fb-4a59-8647-d16f05a02df0/nissan-navara-modèle-2006,244000.0,2006.0,Nissan,Navara,Diesel,8.0,Noir,Avec kilométrage,4 x 4,Manuelle,1.4," 🚘 Nissan Navara modèle 2006🚘 💰37.000 DT Légèrement négociable 🎰 244000 Km 🏢 Disponible à GAFSA sur RDV 🔁 Possibilitè d'echange ☎ TEL : 97 253 297 INTÉRIEUR : - Volant/levier de vitesse en cuir - Autoradio CD/Mp3 Composition Media | haut-parleurs - Bluetooth - Connectivité, usb - Direction assistée - Vitres électriques - 3 appuis têtes arrières EXTÉRIEUR : - Fermeture centralisée - Caméra de recul - Système d'alarme",37000.0
39,https://www.tayara.tn//listings/voitures-9/e9ea68f6-dbca-4092-8cf8-9b18f7f9e3ed/vento-diesel,170000.0,1995.0,Volkswagen,Vento,Diesel,6.0,Bleu,Nouveau,Berline,Manuelle,1.9, vento diesel 52539255,6500.0
40,https://www.tayara.tn//listings/voitures-9/81ca37eb-7d1a-4580-8d8c-49b2ec5d395f/rover-75-,325000.0,2001.0,Rover,75,Essence,6.0,Autre,Avec kilométrage,Berline,Manuelle,1.6, Belle Rover 75 essence 1.6 bien entretenue papier en règle visite 05/02/2021.bon état.,15500.0
41,https://www.tayara.tn//listings/voitures-9/1391e8d7-fd03-4a30-a224-6fb0c1ade51f/belle-mitsibushi-mirage-non-populaire,92000.0,2017.0,Mitsubishi,Canter,Essence,4.0,Noir,Avec kilométrage,Compacte,Manuelle,1.2," voiture très propre ,faible kilomètrage, économique a l âge 2 ans Toutes options : 4 vitres électriques Chaises pilotes Climatronique Ordinateur de bord Jantes aluminuim Airbag Lecteur d origine Salon état neuf ABS Prix peu negociabe, 56 144 488",24000.0
42,https://www.tayara.tn//listings/voitures-9/18c64d4c-cd6e-4bae-9aac-f8335c61d04b/ford-fiesta,200000.0,1998.0,Ford,Fiesta,Essence,5.0,Vert,Avec kilométrage,Berline,Manuelle,1.2, Carroserie impicable  Moteur 5cv .Jante alum Vitre electric.Assister Clim .Salon cuire. prix :7500 tle : 22 103 406,7500.0
43,https://www.tayara.tn//listings/voitures-9/809f3f2e-e72b-4388-920a-03befaf35cf4/polo-7-restylée-98679966,97000.0,2017.0,Volkswagen,Golf 7,Essence,4.0,Marron,Avec kilométrage,Berline,Manuelle,<1.0, Premier main ,29000.0
44,https://www.tayara.tn//listings/voitures-9/590f803c-f0c3-4011-ba6a-d53dccda3d43/hyundai-grand-i10,91000.0,2016.0,Hyundai,Grand i10,Essence,5.0,Noir,Avec kilométrage,Compacte,Manuelle,1.2, karahba ndhifa barcha peinture d'origine,27500.0
45,https://www.tayara.tn//listings/voitures-9/e8e2362f-965c-4ebe-889a-e39f90d0a202/renault-clio-compus,90000.0,2011.0,Renault,Clio,Essence,4.0,Blanc,Avec kilométrage,Compacte,Manuelle,1.2, renault clio compus 1er main en tres bonne etat,21000.0
46,https://www.tayara.tn//listings/voitures-9/8a7a92c7-6112-4825-8fd1-362b35327acd/a-vendre-audi-a4-2004,149900.0,2004.0,Audi,A4,Diesel,7.0,Gris,Avec kilométrage,Berline,Manuelle,1.9," 1.9 TDI boite 5 tres propre et en bon etat tout options sauf toit 4 vitres électrique,confort ,assisté,climatisé jante allum Freins ABS et ASC(esp) Régulateur de vitesse Accoudoir avant et arrière Telifon bluetooth  fermeture centrale a distance  commande au volant   lumière auto peinture d'origine   tel:22654105",31000.0
47,https://www.tayara.tn//listings/voitures-9/89a23b6d-da6e-4abf-b524-1332cdab9916/clio-2-phase2-tt-options-16500-d,320000.0,2002.0,Renault,Clio,Essence,4.0,Noir,Avec kilométrage,Compacte,Manuelle,1.2, Année 2002 320 000 km Capteure  Tt options  A menzel temim Tel 21 715 420,16000.0
48,https://www.tayara.tn//listings/voitures-9/289922df-914f-4607-a069-b5ed98d07e31/taxi-c4,0.0,2011.0,Citroen,C4,Diesel,5.0,Jaune,Avec kilométrage,Cabriolet,Manuelle,1.6, Taxi avec ro5sa 3 ans et 9 mois  Moteur mbayel ,25500.0
49,https://www.tayara.tn//listings/voitures-9/7fee5102-36c2-460c-9beb-cb8ba5d8df51/renault-super-5,2147483647.0,1987.0,Renault,Super 5,Essence,4.0,Gris,Avec kilométrage,Autres,Manuelle,3.0, Renault super 5 grise 4 chevaux  Bonne État  mécanique  .. tole et carosse a refaire  Num : 25 280 842 ,5500.0
50,https://www.tayara.tn//listings/voitures-9/afe36e12-11ba-49ae-8462-d7c80dd050e6/29000dt,260000.0,2015.0,Citroen,Berlingo,Diesel,5.0,Gris,Avec kilométrage,Compacte,Manuelle,1.6, BERLINGO A VENDRE,29000.0
51,https://www.tayara.tn//listings/voitures-9/62ac857e-5d5e-4eaf-88e9-cd65d9816cef/renault-symbol-pour-une-femme,60000.0,2016.0,Renault,Symbol,Essence,5.0,Noir,Nouveau,Autres,Manuelle,1.4," a vendre Renault symbol Premier main d'une dalle année 2016, 60.000km, 5cv essence, toutes options , prix 27500 légèrement négociable.pour plus d'informations prière de me contacter sur :22343659",27000.0
52,https://www.tayara.tn//listings/voitures-9/3a0fe168-b7bb-4c54-91a4-1cb6a1378893/citroën,174000.0,2016.0,Citroen,Berlingo,Diesel,6.0,Blanc,Avec kilométrage,Utilitaire,Manuelle,1.6, Berlingot,29000.0
53,https://www.tayara.tn//listings/voitures-9/3da3fad2-3756-4fc9-85e5-86b18c264b5a/clio-dynamique,183000.0,2014.0,Renault,Clio,Essence,4.0,Rouge,Avec kilométrage,Compacte,Manuelle,1.2, Clio dynamique tt options tres propre ,28800.0
54,https://www.tayara.tn//listings/voitures-9/3467be55-ed21-46c9-afa7-2b9ad4b7eb9e/mazda6,130000.0,2015.0,Mazda,6,Essence,9.0,Rouge,Avec kilométrage,Berline,Automatique,2.0, voiture presk 9 et tout option tel:24468238/wahtsapp:0021627234568,65000.0
55,https://www.tayara.tn//listings/voitures-9/633c1441-3cc4-4195-ab57-8436df75a8a7/bmw-e90,142000.0,2007.0,BMW,Serie 3,Essence,7.0,Noir,Nouveau,Berline,Manuelle,1.6, BMW e90 année 2007 première main Led avant et arrière Salon cuir Chaise mémorisé Rideau electric Grand écran Radar de recul Sauf toit,36500.0
56,https://www.tayara.tn//listings/voitures-9/e3850fac-960a-40ef-be23-ec75d57a6698/isuzu-10ch,30000.0,1999.0,Isuzu,D-MAX,Diesel,10.0,Blanc,Avec kilométrage,Utilitaire,Manuelle,2.5, karhba nthifa,22700.0
57,https://www.tayara.tn//listings/voitures-9/9a795a96-17ba-4d68-977c-c8beae7b7789/c3-première-main-5cv-4-cylindre-,111000.0,201.0,Citroen,C3,Essence,55.0,Noir,Avec kilométrage,Compacte,Manuelle,1.4, Etat parfait jamais accidentée entériner parfait fin 2011 tout option tout en marche moteur 4 cylindre double clé dispo tel 21052936 ,24500.0
58,https://www.tayara.tn//listings/voitures-9/fee7eba2-ca18-4a7c-8301-ab4f2f53c61f/karhba-ndhifa,256000.0,1998.0,Renault,Megane,Essence,7.0,Gris,Avec kilométrage,Berline,Manuelle,1.6, voiture importée tout options vitres électriques rétroviseurs électriques assistée climatisé ordinateur de bord volant réglable chaise réglable siège d'origine banquette arrière rabattable accoudoir arrière ABS AIRBAG fermeture centralisée à distance Radar de recul feux antibrouillard bien entretenu vidange et filtre avant train plaques de frin visite technique fin 2020 vignette payer  trois clé disponible à Bizerte tél 26722400 gachara non svp,12000.0
59,https://www.tayara.tn//listings/voitures-9/0e465e2c-6ac5-4522-b5cf-45f8270193c0/fiat-500-toute-option,103000.0,2014.0,Fiat,500,Essence,4.0,Blanc,Avec kilométrage,Berline,Manuelle,1.4, fiat 500 toute option 52743683,30000.0
60,https://www.tayara.tn//listings/voitures-9/2168339c-bd5f-4d59-b862-3b02fcb6b39e/c-180-kompressor,161000.0,2009.0,Mercedes-Benz,Classe C,Essence,9.0,Noir,Avec kilométrage,Berline,Manuelle,1.8, Propre voiture Tout option sauf toit Tél : 54 402 447,46500.0
61,https://www.tayara.tn//listings/voitures-9/b9adae90-3cc6-4a23-b3eb-5db9e0323a13/à-vendre-ou-échange-,260000.0,2009.0,Renault,Clio,Essence,4.0,Rouge,Avec kilométrage,Autres,Manuelle,1.2," Clio campus,  4 chevaux,  4 cylindres,  essence",23000.0
62,https://www.tayara.tn//listings/voitures-9/c67a04b2-4792-4076-9d12-41d12b21996e/dacia-logan,88500.0,2017.0,Dacia,Logan MCV,Essence,5.0,Gris,Avec kilométrage,Berline,Manuelle,1.2, Le prix négociable ,33000.0
63,https://www.tayara.tn//listings/voitures-9/afdb78c6-3e71-43c8-b119-22cebd80a88b/golf-4-en-bon-état,300000.0,2000.0,Volkswagen,Golf 4,Essence,5.0,Bleu,Nouveau,Compacte,Manuelle,>4.0," 5 cv vitres électrique, direction assisté en très bon état",15000.0
64,https://www.tayara.tn//listings/voitures-9/227f4708-e073-4886-8d06-e8e3736187ae/ford-focus-1ère-main,147000.0,2007.0,Ford,Focus,Essence,6.0,Gris,Nouveau,Berline,Manuelle,1.4, À vendre ford focus 1ère main toutes options voitures neuves entretien fait tel 23086066,23000.0
65,https://www.tayara.tn//listings/voitures-9/24c5bcff-d3a4-4579-afc8-9089d239954a/citroën-elysee-exclusive-,109000.0,2015.0,Fiat,Grande Punto,Essence,4.0,Gris,Avec kilométrage,Berline,Manuelle,1.2," Citroën elysee exclusive toutes options bien entretenu 0 dépenses croix de distribution, bougies et vidange faite le mois dernier. Radar de recul, bluetooth, 4 vitres électriques, climatronique, ABS, usb, mp3, jantes alliage, consommation 5,5 %. SVP Le prix légèrement négociable.",24500.0
66,https://www.tayara.tn//listings/voitures-9/1b7c65a9-b13e-4a5c-a750-7cdb37c7224e/siat-léon-1-2-tsi-était-était-neuf-et-d'origine,55000.0,2017.0,Seat,Leon,Essence,6.0,Noir,Nouveau,Berline,Manuelle,1.2, Siat Léon 1.2 TSI était était neuf et d'origine 1er main tout option jante alu cuir toit ouvrant volant multifonction post tactile ABS AIRBAG 55000km annne 05/2017 tel,48000.0
67,https://www.tayara.tn//listings/voitures-9/9bc654f1-26a2-4d28-bb05-bb43ec4e7503/karhba-ndifa,300000.0,1996.0,Peugeot,106,Essence,4.0,Blanc,Avec kilométrage,Berline,Manuelle,1.1, 94016615,11600.0
68,https://www.tayara.tn//listings/voitures-9/4ef30329-cc5b-4b3e-a545-2231b5c145b6/406,298000.0,2001.0,Peugeot,406,Essence,7.0,Gris,Avec kilométrage,Berline,Manuelle,1.6, peugeat 406 ndifa kool chaīi ye5dem anne 2001 ili hajto ikalemni 95146907,17500.0
69,https://www.tayara.tn//listings/voitures-9/eb86cf2e-abe1-411f-b1e8-99b328334477/climatiseur-condor-12-ml,2000.0,2019.0,AC,Cobra,Hybride,12.0,Blanc,Nouveau,Cabriolet,Automatique,1.4, climatiseur peu utiliser 08/2019 avec facture ch/fr 12 ml btu,900000.0
70,https://www.tayara.tn//listings/voitures-9/d8279de9-4c88-4977-912b-d6101f60d6c5/porsche-cayenne-turbo-v8-4-8-l-,135000.0,2008.0,Porsche,Cayenne,Essence,43.0,Noir,Avec kilométrage,4 x 4,Automatique,>4.0," 🆕 👉 A VENDRE PORSCHE CAYENNE TURBO V8  4,8 litres 43 Cv Année 2008 ou a echange                     Svp pas de dérangement après 19.00H ₪☎ 📱 Tel : 98 214 267.  53 402 770  PRIX 105 500 DT ⛔️ Pour les sérieux, Curieux s'abstenir. 🚫 S.V.P. Prix légèrement négociable.  🆕 👉 A VENDRE 🚘 👑 PORSCHE CAYENNE phase 2 restyle’ ou a echange contre une autre voiture plus la difference  ✌🏠 Voiture visible dans notre Show Room YOUSSEF AUTO route de la Marsa en face carrefour pour visite heure travail de 10.00 H jusqu’à 19.00H ✅➡ Kilométrage : 135 000 Km seulement ✅➡ Mise en circulation : 2008 ✅➡ Energie : Essence.  ✅➡ Couleur extérieure : Noir Peinture métallisée. ✅➡ Couleur intérieure : rouge vin ✅➡ Puissance fiscal 43 Cv. 500 Cv Dyn. ✅➡ une bombe dans la route pour amateurs porsche turbo ✅➡ État du véhicule presque neuf aucune rayure 🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗 ☑➡ Toit ouvrant électrique  bixenon directionnel avec lave phares Sieges électrique memorisable Paquet de lumière intérieur Pack chromé Tv dvd  Quatres sortie échappement en chrome  ☑➡ Feux de jour en led jantes allum 21 pouce cayenne   🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙 Voiture vraiment presque neuve 👍.  TU 156  ⛔️ Pour les sérieux, Curieux s'abstenir. 🚫 S.V.P. Prix légèrement négociable.  ₪☎ 📱 Tel 98 214 267.   53 402 770",105500.0
